Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,year,Day_Perc_Change,Trend,upper_bb,lower_bb,middle_bb
2018-05-14,LALPATHLAB,EQ,817.0,827.9,828.0,798.4,808.95,807.1,816.75,45077,36816819.05,4932,18083,40.12,5,2018,-1.2117503059975498,Negative,859.2588992988506,811.7553864154352,835.5071428571429
2018-05-15,LALPATHLAB,EQ,807.1,828.0,932.5,825.0,892.0,887.7,861.5,1136557,979145284.1,42803,545124,47.96,5,2018,9.986370957749966,Bull run,875.3215783384643,802.0784216615358,838.7
2018-05-16,LALPATHLAB,EQ,887.7,884.9,909.0,856.05,889.0,889.7,883.62,228078,201535235.75,17845,75057,32.91,5,2018,0.2253013405429716,Slight or No change,887.2935588018253,796.1207269124606,841.7071428571429
2018-05-17,LALPATHLAB,EQ,889.7,889.0,889.0,857.55,865.0,866.4,879.24,156978,138021952.85,5958,124299,79.18,5,2018,-2.618860289985392,Negative,890.4300267297872,795.6342589844987,843.032142857143
2018-05-18,LALPATHLAB,EQ,866.4,868.0,883.0,862.0,865.0,867.35,874.7,177478,155240867.35,4892,149908,84.47,5,2018,0.10964912280702066,Slight or No change,893.5613214038513,795.3101071675774,844.4357142857143
2018-05-21,LALPATHLAB,EQ,867.35,864.4,909.65,850.0,895.0,890.25,885.73,122445,108453517.8,8095,68877,56.25,5,2018,2.640225975673016,Positive,902.6089459177236,792.8339112251336,847.7214285714286
2018-05-22,LALPATHLAB,EQ,890.25,897.0,899.0,865.1,869.0,874.9,879.39,66690,58646196.4,7965,27797,41.68,5,2018,-1.724234765515309,Negative,906.7516811768488,793.8483188231513,850.3000000000001
2018-05-23,LALPATHLAB,EQ,874.9,875.0,898.9,851.25,866.55,882.5,883.54,92296,81547101.9,6350,39719,43.03,5,2018,0.8686707052234509,Slight Positive,911.9202707051894,795.0725864376678,853.4964285714286
2018-05-24,LALPATHLAB,EQ,882.5,875.0,895.8,867.4,890.0,890.05,887.53,98799,87687508.4,7000,74410,75.31,5,2018,0.8555240793201024,Slight Positive,917.9732861353783,796.4267138646215,857.1999999999999
2018-05-25,LALPATHLAB,EQ,890.05,892.0,898.8,870.0,888.0,890.0,884.0,183672,162366134.4,12114,122257,66.56,5,2018,-0.005617661929102624,Slight or No change,922.7588057156092,799.6483371415334,861.2035714285713
2018-05-28,LALPATHLAB,EQ,890.0,889.0,899.9,880.0,881.9,881.9,890.11,21618,19242463.85,3350,10702,49.51,5,2018,-0.9101123595505634,Slight Negative,925.0889254856336,803.9682173715089,864.5285714285712
2018-05-29,LALPATHLAB,EQ,881.9,882.95,889.0,875.0,879.0,879.55,880.05,9777,8604211.4,869,5102,52.18,5,2018,-0.2664701213289544,Slight or No change,925.4630926427592,810.8726216429545,868.1678571428569
